# x	y	u	v	flags	mask
4.4235e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
4.6118e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
4.8000e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
4.9882e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
5.1765e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
5.3647e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
5.5529e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
5.7412e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
5.9294e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
6.1176e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
6.3059e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
6.4941e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
6.6824e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
6.8706e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
7.0588e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
7.2471e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
7.4353e+01	5.7412e+01	nan	nan	1.0000e+00	0.0000e+00
9.4118e-01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
2.8235e+00	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
4.7059e+00	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
6.5882e+00	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
8.4706e+00	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
1.0353e+01	5.5529e+01	-4.6417e-08	2.8489e+00	0.0000e+00	0.0000e+00
1.2235e+01	5.5529e+01	1.2123e+00	3.3638e+00	0.0000e+00	0.0000e+00
1.4118e+01	5.5529e+01	4.4336e+00	1.2288e+00	0.0000e+00	0.0000e+00
1.6000e+01	5.5529e+01	3.5642e+00	3.7050e+00	0.0000e+00	0.0000e+00
1.7882e+01	5.5529e+01	3.2968e+00	3.0636e+00	0.0000e+00	0.0000e+00
1.9765e+01	5.5529e+01	2.8820e+00	5.0877e+00	0.0000e+00	0.0000e+00
2.1647e+01	5.5529e+01	8.2617e+00	3.5040e+00	0.0000e+00	0.0000e+00
2.3529e+01	5.5529e+01	4.7935e+00	5.4160e+00	0.0000e+00	0.0000e+00
2.5412e+01	5.5529e+01	3.6788e+00	1.1178e+00	0.0000e+00	0.0000e+00
2.7294e+01	5.5529e+01	1.9820e+00	2.4985e+00	0.0000e+00	0.0000e+00
2.9176e+01	5.5529e+01	6.0623e+00	1.2452e+01	0.0000e+00	0.0000e+00
3.1059e+01	5.5529e+01	3.0753e+00	4.9950e+00	0.0000e+00	0.0000e+00
3.2941e+01	5.5529e+01	8.3814e-01	1.0958e+01	0.0000e+00	0.0000e+00
3.4824e+01	5.5529e+01	-1.7530e+00	8.2671e+00	0.0000e+00	0.0000e+00
3.6706e+01	5.5529e+01	3.1265e-01	8.0213e+00	0.0000e+00	0.0000e+00
3.8588e+01	5.5529e+01	-8.4934e-01	1.0870e+01	0.0000e+00	0.0000e+00
4.0471e+01	5.5529e+01	1.3688e+00	9.8380e+00	0.0000e+00	0.0000e+00
4.2353e+01	5.5529e+01	4.3676e-01	4.5633e+00	0.0000e+00	0.0000e+00
4.4235e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
4.6118e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
4.8000e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
4.9882e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
5.1765e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
5.3647e+01	5.5529e+01	nan	nan	1.0000e+00	0.0000e+00
